# input file for particle conversion to/from EPOS
# the format of this file is: "corsika-identifier" "epos-id" "can-interact-in-epos" "cross-section-type"
# Some of the higher resonances in Epos are grouped into a single particle, 
# e.g N(1520)0 and N(1535)0 are the same state (internal id: 1223) 
# For these particles there is no unique conversion between Epos and Corsika.
# Since we are only interested in particle production from Epos we map 
# the effective states to the lightest resonance.

# The unknown particle is to handle all particles that are not known to EPOS.
# It is important that epos-id does not overlap with any existing epos particle!
# Be careful
Xi_1530_0Bar           -1331	 0       CannotInteract
Xi_1530_PlusBar        -2331 	 0       CannotInteract

OmegaMinus              3331     0       CannotInteract
OmegaPlusBar           -3331     0       CannotInteract


Eta                      220	 0       CannotInteract
EtaPrime                 330     0       CannotInteract
Phi                      331     0       CannotInteract
Omega                    221     0       CannotInteract
Rho0                     111     1       Pion
RhoPlus                  121     0       CannotInteract
RhoMinus                -121     0       CannotInteract

A0_1450_Plus             122     0       CannotInteract
A0_1450_Minus           -122     0       CannotInteract
A0_1450_0                222     0       CannotInteract
A1_1260_Plus             124     0       CannotInteract
A1_1260_Minus           -124     0       CannotInteract
A1_1260_0                224     0       CannotInteract
B1_1235_Plus             123     0       CannotInteract
B1_1235_Minus           -123     0       CannotInteract
B1_1235_0                223     0       CannotInteract
F0_1370                  112     0       CannotInteract
F0_1710                  332     0       CannotInteract
H1_1170                  113     0       CannotInteract
H1_1415                  333     0       CannotInteract
F1_1285                  114     0       CannotInteract
F1_1420                  334     0       CannotInteract

KStarPlus                131     0       CannotInteract
KStarMinus              -131     0       CannotInteract
KStar0                   231     0       CannotInteract
KStar0Bar               -231     0       CannotInteract

K0Star_1430_0            232     0       CannotInteract
K0Star_1430_0Bar        -232     0       CannotInteract
K1_1270_0                233     0       CannotInteract
K1_1270_0Bar            -233     0       CannotInteract
K1_1270_Plus             133     0       CannotInteract
K1_1270_Minus           -133     0       CannotInteract
K1_1400_0                234     0       CannotInteract
K1_1400_0Bar            -234     0       CannotInteract
K1_1400_Plus             134     0       CannotInteract
K1_1400_Minus           -134     0       CannotInteract

K0Star_1430_Plus         132     0       CannotInteract
K0Star_1430_Minus       -132     0       CannotInteract

NuE                       11     0       CannotInteract
NuEBar                   -11     0       CannotInteract
NuMu                      13     0       CannotInteract
NuMuBar                  -13     0       CannotInteract
NuTau                     15     0       CannotInteract
NuTauBar                 -15     0       CannotInteract

# Nuclei
Deuterium                17      0       CannotInteract      
Tritium                  18      0       CannotInteract
Helium                   19      0       CannotInteract
